Date,Open,High,Low,Close,Adj Close,Volume
2020-05-06,208.119995,211.600006,206.660004,208.470001,208.042480,21857000
2020-05-07,211.160004,211.600006,209.039993,211.259995,210.826767,15152000
2020-05-08,212.240005,213.210007,210.850006,212.350006,211.914536,12506000
2020-05-11,210.889999,215.000000,210.369995,213.179993,212.742813,12911900
2020-05-12,213.289993,215.279999,210.000000,210.100006,209.669144,14704600
2020-05-13,209.429993,210.779999,202.110001,205.100006,204.679413,20684600
2020-05-14,202.559998,206.929993,200.690002,206.809998,206.385895,17178900
2020-05-15,205.270004,211.339996,204.119995,210.880005,210.447556,19383200
2020-05-18,212.149994,214.639999,210.940002,213.190002,212.752823,20151900
2020-05-19,213.270004,220.490005,212.830002,216.880005,216.435242,31843200
2020-05-20,223.500000,231.339996,223.190002,229.970001,229.498398,50162900
2020-05-21,234.720001,237.199997,231.199997,231.389999,230.915482,47782600
2020-05-22,231.509995,235.990005,228.740005,234.910004,234.428268,33925600
2020-05-26,239.770004,240.899994,231.669998,232.199997,231.723816,33178300
2020-05-27,229.070007,230.559998,221.130005,229.139999,228.670105,34697600
2020-05-28,224.300003,231.630005,224.000000,225.460007,224.997650,29377200
2020-05-29,225.199997,227.490005,222.880005,225.089996,224.628403,23241500
2020-06-01,224.589996,232.440002,223.500000,231.910004,231.434418,18223800
2020-06-02,230.940002,233.000000,226.559998,232.720001,232.242752,20919000
2020-06-03,232.110001,232.649994,228.529999,230.160004,229.688019,15380300
2020-06-04,229.559998,231.630005,224.610001,226.289993,225.825943,17041500
2020-06-05,226.710007,231.350006,225.309998,230.770004,230.296753,16750400
2020-06-08,229.029999,231.550003,227.410004,231.399994,230.925461,15466500
2020-06-09,231.520004,239.770004,230.410004,238.669998,238.180557,27462900
2020-06-10,240.960007,241.210007,235.279999,236.729996,236.244537,20720700
2020-06-11,229.940002,232.889999,223.550003,224.429993,223.969757,26708200
2020-06-12,229.899994,231.660004,224.500000,228.580002,228.111252,22091400
2020-06-15,225.089996,233.770004,224.800003,232.500000,232.023209,15340300
2020-06-16,237.139999,238.460007,233.000000,235.649994,235.166748,15236700
2020-06-17,235.000000,237.589996,231.729996,235.529999,235.046997,19578100
2020-06-18,234.990005,236.139999,232.149994,235.940002,235.456146,15782500
2020-06-19,237.789993,240.830002,235.550003,238.789993,238.300293,30081300
2020-06-22,238.559998,240.699997,236.910004,239.220001,238.729431,18917800
2020-06-23,241.279999,245.190002,239.860001,242.240005,241.743240,24017900
2020-06-24,241.199997,243.220001,232.679993,234.020004,233.540100,20834900
2020-06-25,234.619995,237.300003,232.740005,235.679993,235.196671,18704300
2020-06-26,232.639999,233.089996,215.399994,216.080002,215.636887,76343900
2020-06-29,209.750000,220.750000,207.110001,220.639999,220.187531,58514300
2020-06-30,220.589996,227.500000,218.470001,227.070007,226.604355,33927100
2020-07-01,228.500000,239.000000,227.559998,237.550003,237.062866,43399700
2020-07-02,239.000000,240.000000,232.610001,233.419998,232.941315,30633600
2020-07-06,233.759995,240.399994,232.270004,240.279999,239.787247,26206200
2020-07-07,239.410004,247.649994,238.820007,240.860001,240.366074,27887800
2020-07-08,238.110001,246.990005,236.589996,243.580002,243.080490,29791300
2020-07-09,245.000000,246.529999,239.240005,244.500000,243.998596,22174900
2020-07-10,243.690002,245.490005,239.320007,245.070007,244.567429,22982700
2020-07-13,247.009995,250.149994,238.419998,239.000000,238.509888,24674900
2020-07-14,236.759995,240.330002,232.029999,239.729996,239.238373,23378100
2020-07-15,241.550003,244.820007,238.050003,240.279999,239.787247,19133600
2020-07-16,238.000000,241.759995,236.330002,240.929993,240.435913,18880700
2020-07-17,241.000000,244.160004,237.860001,242.029999,241.533661,18152400
2020-07-20,240.059998,246.050003,235.639999,245.419998,244.916718,20872200
2020-07-21,246.220001,246.910004,240.080002,241.750000,241.254242,19364200
2020-07-22,240.259995,241.899994,238.119995,239.869995,239.378082,15427900
2020-07-23,239.630005,242.419998,231.750000,232.600006,232.123001,21771800
2020-07-24,230.190002,233.490005,226.899994,230.710007,230.236893,18325800
2020-07-27,231.460007,234.949997,230.830002,233.500000,233.021164,13163100
2020-07-28,234.630005,234.960007,229.830002,230.119995,229.648087,14170100
2020-07-29,231.139999,233.699997,230.309998,233.289993,232.811569,13588300
2020-07-30,230.220001,234.889999,229.000000,234.500000,234.019104,20615300
2020-07-31,255.820007,255.850006,249.000000,253.669998,253.149796,53005100
2020-08-03,252.649994,255.399994,250.330002,251.960007,251.443314,23124900
2020-08-04,251.559998,252.800003,247.429993,249.830002,249.317673,17183500
2020-08-05,250.190002,252.270004,247.770004,249.119995,248.609116,13050100
2020-08-06,249.039993,266.600006,248.669998,265.279999,264.735992,45241600
2020-08-07,264.079987,278.890015,263.429993,268.440002,267.889496,72766400
2020-08-10,268.040009,273.859985,259.690002,263.000000,262.460663,30248800
2020-08-11,260.190002,265.920013,255.130005,256.130005,255.604752,28238300
2020-08-12,258.970001,263.899994,258.109985,259.890015,259.357056,21415700
